               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.033742,            0.034999,           0.0019053,             0.93852,             0.91977,             0.95754,             0.60432,            0.028601,            0.029027,           0.0011715,             0.00835,             0.00835,             0.00835
                  52,            0.034104,            0.035729,           0.0019069,             0.93964,               0.919,             0.95767,             0.60474,            0.028589,            0.029019,           0.0011643,            0.008317,            0.008317,            0.008317
                  53,            0.033731,            0.035074,           0.0018466,             0.93928,             0.91976,             0.95788,             0.60503,             0.02858,            0.029012,           0.0011583,            0.008284,            0.008284,            0.008284
                  54,            0.033824,            0.035162,           0.0018959,             0.93787,             0.92187,             0.95808,             0.60515,            0.028565,            0.028997,           0.0011462,            0.008251,            0.008251,            0.008251
                  55,            0.033768,            0.035462,           0.0019153,             0.93935,              0.9208,              0.9582,             0.60542,            0.028553,            0.028988,           0.0011253,            0.008218,            0.008218,            0.008218
                  56,            0.033826,            0.035598,           0.0019045,             0.94009,             0.92025,             0.95825,             0.60538,            0.028552,            0.028983,           0.0011124,            0.008185,            0.008185,            0.008185
                  57,            0.033753,             0.03541,           0.0017156,             0.93908,             0.92118,             0.95853,             0.60555,            0.028545,            0.028975,             0.00111,            0.008152,            0.008152,            0.008152
                  58,            0.033845,            0.035053,           0.0018156,             0.93837,             0.92204,             0.95858,             0.60576,            0.028534,            0.028964,           0.0011077,            0.008119,            0.008119,            0.008119
                  59,            0.033719,            0.034992,           0.0016511,             0.93857,             0.92187,             0.95855,             0.60592,            0.028521,            0.028957,           0.0011044,            0.008086,            0.008086,            0.008086
                  60,            0.033722,            0.035051,           0.0016307,             0.94014,             0.92073,             0.95853,             0.60623,            0.028512,            0.028949,           0.0011023,            0.008053,            0.008053,            0.008053
                  61,            0.033687,            0.035181,           0.0018242,             0.93811,             0.92283,             0.95846,              0.6064,            0.028504,            0.028944,           0.0010985,             0.00802,             0.00802,             0.00802
                  62,            0.033417,            0.034961,           0.0017167,             0.93838,             0.92277,             0.95852,             0.60684,            0.028497,            0.028939,           0.0010976,            0.007987,            0.007987,            0.007987
                  63,            0.033667,            0.035316,            0.001545,             0.93757,              0.9233,             0.95851,             0.60706,            0.028485,             0.02893,           0.0010967,            0.007954,            0.007954,            0.007954
                  64,            0.033567,            0.035037,           0.0016225,             0.93915,             0.92204,             0.95857,             0.60715,            0.028475,            0.028924,           0.0010956,            0.007921,            0.007921,            0.007921
                  65,            0.033444,            0.035287,           0.0016064,             0.93902,             0.92252,             0.95857,             0.60719,            0.028464,            0.028918,            0.001096,            0.007888,            0.007888,            0.007888
                  66,            0.033537,            0.035004,           0.0015575,             0.93957,             0.92225,             0.95867,             0.60739,            0.028455,            0.028909,           0.0010946,            0.007855,            0.007855,            0.007855
                  67,            0.033292,            0.035032,           0.0015183,             0.93854,             0.92335,             0.95874,             0.60777,            0.028448,            0.028902,           0.0010916,            0.007822,            0.007822,            0.007822
                  68,            0.033457,            0.034917,           0.0015423,              0.9382,             0.92403,             0.95895,             0.60789,            0.028441,            0.028897,           0.0010901,            0.007789,            0.007789,            0.007789
                  69,            0.033329,            0.034772,           0.0015066,             0.93779,             0.92438,             0.95899,             0.60798,            0.028434,            0.028893,           0.0010902,            0.007756,            0.007756,            0.007756
                  70,            0.033405,            0.034956,           0.0016738,             0.93772,             0.92443,             0.95889,             0.60827,            0.028426,            0.028887,           0.0010875,            0.007723,            0.007723,            0.007723
                  71,            0.033271,            0.034441,           0.0015579,             0.94146,              0.9211,             0.95886,             0.60845,            0.028418,            0.028881,           0.0010865,             0.00769,             0.00769,             0.00769
                  72,            0.033309,            0.034653,           0.0015794,             0.94087,              0.9219,             0.95901,             0.60849,             0.02841,            0.028874,           0.0010844,            0.007657,            0.007657,            0.007657
                  73,            0.033308,            0.034889,           0.0014423,             0.94102,             0.92152,             0.95896,             0.60851,            0.028403,            0.028869,           0.0010841,            0.007624,            0.007624,            0.007624
                  74,            0.033186,            0.034218,           0.0014163,             0.94095,             0.92183,             0.95899,             0.60859,            0.028393,            0.028862,           0.0010827,            0.007591,            0.007591,            0.007591
                  75,            0.033256,            0.034882,           0.0015921,             0.94287,              0.9203,             0.95896,             0.60888,            0.028386,            0.028857,           0.0010794,            0.007558,            0.007558,            0.007558
                  76,            0.033357,            0.034828,            0.001462,             0.94326,             0.92026,             0.95908,             0.60911,            0.028378,            0.028847,           0.0010761,            0.007525,            0.007525,            0.007525
                  77,            0.033204,             0.03477,           0.0015387,             0.94321,             0.92022,             0.95914,             0.60912,            0.028371,            0.028842,           0.0010733,            0.007492,            0.007492,            0.007492
                  78,            0.033124,            0.034628,           0.0016246,             0.94332,             0.92014,             0.95917,             0.60925,            0.028363,            0.028836,           0.0010707,            0.007459,            0.007459,            0.007459
                  79,             0.03323,            0.034554,           0.0015509,             0.93905,             0.92425,             0.95919,             0.60928,            0.028356,            0.028831,           0.0010693,            0.007426,            0.007426,            0.007426
                  80,            0.033373,             0.03472,           0.0015362,              0.9376,             0.92584,             0.95913,             0.60943,            0.028348,            0.028827,           0.0010685,            0.007393,            0.007393,            0.007393
                  81,            0.033156,            0.034817,           0.0014244,             0.94232,              0.9217,             0.95915,              0.6095,            0.028341,            0.028819,           0.0010687,             0.00736,             0.00736,             0.00736
                  82,            0.033051,            0.034434,           0.0014359,             0.94261,             0.92155,             0.95914,             0.60959,            0.028333,            0.028813,            0.001068,            0.007327,            0.007327,            0.007327
                  83,            0.033129,            0.034802,           0.0014067,             0.94179,             0.92261,             0.95916,             0.60984,            0.028324,            0.028807,           0.0010667,            0.007294,            0.007294,            0.007294
                  84,            0.033154,            0.034646,           0.0014805,             0.94157,             0.92294,             0.95903,             0.60991,            0.028317,            0.028798,           0.0010644,            0.007261,            0.007261,            0.007261
                  85,            0.033125,             0.03442,           0.0013452,             0.94215,             0.92232,             0.95905,             0.61009,            0.028312,            0.028792,           0.0010618,            0.007228,            0.007228,            0.007228
                  86,            0.032964,            0.034557,           0.0014394,              0.9415,             0.92318,             0.95915,             0.61019,            0.028307,            0.028788,           0.0010625,            0.007195,            0.007195,            0.007195
                  87,            0.032949,            0.034676,            0.001427,             0.94191,             0.92319,             0.95935,             0.61017,            0.028302,            0.028781,           0.0010597,            0.007162,            0.007162,            0.007162
                  88,            0.033017,            0.034503,           0.0014045,             0.94017,             0.92448,             0.95932,             0.61048,            0.028293,            0.028776,           0.0010582,            0.007129,            0.007129,            0.007129
                  89,             0.03294,            0.034688,           0.0012865,             0.94115,             0.92383,             0.95942,             0.61057,            0.028285,             0.02877,           0.0010567,            0.007096,            0.007096,            0.007096
                  90,            0.032938,            0.034378,            0.001327,             0.94201,             0.92291,              0.9595,             0.61072,            0.028276,            0.028759,           0.0010554,            0.007063,            0.007063,            0.007063
                  91,            0.032796,            0.034195,           0.0013261,             0.94191,             0.92309,             0.95945,             0.61092,            0.028266,            0.028753,           0.0010534,             0.00703,             0.00703,             0.00703
                  92,            0.033031,            0.034348,           0.0013548,             0.94208,             0.92327,             0.95945,             0.61094,            0.028259,            0.028744,           0.0010531,            0.006997,            0.006997,            0.006997
                  93,            0.032982,            0.035045,           0.0016056,             0.94206,             0.92325,             0.95922,             0.61105,            0.028252,            0.028739,           0.0010487,            0.006964,            0.006964,            0.006964
                  94,            0.032961,            0.034428,           0.0013522,             0.94231,             0.92337,             0.95958,             0.61116,            0.028247,            0.028731,           0.0010464,            0.006931,            0.006931,            0.006931
                  95,            0.032767,            0.034217,           0.0013297,             0.94208,             0.92377,             0.95956,             0.61132,            0.028242,            0.028726,           0.0010477,            0.006898,            0.006898,            0.006898
                  96,              0.0327,            0.034223,           0.0013497,             0.94189,             0.92424,             0.95979,              0.6113,            0.028234,            0.028721,           0.0010469,            0.006865,            0.006865,            0.006865
                  97,            0.032747,            0.034695,            0.001428,             0.93987,             0.92643,             0.95966,             0.61141,            0.028227,            0.028715,            0.001046,            0.006832,            0.006832,            0.006832
                  98,            0.032638,            0.034089,           0.0013459,             0.93975,             0.92694,             0.95988,              0.6116,             0.02822,            0.028707,           0.0010451,            0.006799,            0.006799,            0.006799
                  99,            0.032756,            0.034406,           0.0012007,             0.93996,             0.92702,             0.96017,             0.61178,            0.028212,            0.028698,           0.0010433,            0.006766,            0.006766,            0.006766
                 100,            0.032538,            0.033946,           0.0013158,             0.94039,             0.92675,             0.96016,             0.61185,            0.028205,            0.028691,            0.001042,            0.006733,            0.006733,            0.006733
                 101,            0.032787,            0.034381,             0.00142,             0.94073,             0.92641,             0.96025,             0.61192,              0.0282,            0.028684,           0.0010388,              0.0067,              0.0067,              0.0067
                 102,            0.032607,            0.034208,           0.0012576,             0.94067,             0.92655,             0.96003,             0.61195,             0.02819,            0.028676,           0.0010392,            0.006667,            0.006667,            0.006667
